covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
PC28,0.27914729120886933,1.3220020488099211,0.11315389599770612,0.05736973034297438,0.5009248520747642,1.0590472999396914,1.6502467993234609,0.0,2.4669702156302975,0.013626169115816437,6.197476172345296
PC29,-0.07370866120842723,0.9289422913461998,0.09521597073321196,-0.26032853459854255,0.11291121218168806,0.7707983102875318,1.1195325276850006,0.0,-0.7741207765969575,0.4388593720785151,1.188169377694774
PC30,0.16848180068853094,1.183506687642026,0.09858899131972503,-0.024749071570262127,0.361712672947324,0.975554675720866,1.4357863424296444,0.0,1.708931174091668,0.08746369917246101,3.515171823005421
PC31,0.01730559244084442,1.0174562017457647,0.10633139165656465,-0.19110010563204508,0.22571129051373393,0.82604989176556,1.2532137983315923,0.0,0.16275149014073884,0.8707141041512121,0.19972900204578578
PC32,0.15503941739063334,1.167703988042229,0.10595792832901038,-0.05263430601070332,0.36271314079197003,0.9487268927745852,1.437223519301774,0.0,1.4632167675949632,0.1434080740823279,2.801801842740041
PC33,-0.27175771056802916,0.7620388726898183,0.12636999090104198,-0.5194383414607258,-0.02407707967533254,0.5948545593041141,0.9762104608724864,0.0,-2.1504924438970456,0.03151628304374869,4.987758793005657
PC34,-0.04868505268827624,0.95248106381482,0.09966606390480874,-0.24402694842256883,0.14665684304601634,0.7834665207915056,1.1579565340064335,0.0,-0.48848174374354175,0.6252086538422377,0.6775903473097405
PC35,-0.12146725112336282,0.885620055935923,0.12746144728725506,-0.3712870972237333,0.12835259497700766,0.6898458602945645,1.1369538162351818,0.0,-0.9529724768432658,0.3406040160366474,1.55383264906058
PC36,0.13473032902014404,1.1442281776082088,0.12567400569910742,-0.11158619594298799,0.3810468539832761,0.8944142931971152,1.4638161894222572,0.0,1.072062024844816,0.2836921741884243,1.8176017412975576
PC37,-0.3343335745748205,0.7158149647251912,0.11706094811640759,-0.5637688168790913,-0.10489833227054973,0.5690603331171934,0.9004160611894274,0.0,-2.856064126888439,0.004289284923177357,7.865047131989595
PC38,0.18212275106138198,1.199761456833573,0.106822521454472,-0.027245543727140387,0.39149104584990435,0.9731222681176501,1.4791846826070076,0.0,1.7049096817940503,0.0882112704043299,3.5028931947893325
PC39,-0.023679658755185674,0.9765985044353109,0.10610006051101328,-0.23163195611429213,0.18427263860392076,0.7932380159904263,1.2023435836902665,0.0,-0.2231823303505817,0.8233936034690685,0.2803458537570827
PC40,0.15363134232859646,1.1660609302226672,0.11935455000327874,-0.08029927706881487,0.38756196172600776,0.9228401201684623,1.4733842442215692,0.0,1.2871846303670544,0.19802994301610088,2.3362095061240975
PC41,-0.22194561783932634,0.8009589210270313,0.1230090526600398,-0.46303893082539527,0.019147695146742583,0.629368130210432,1.0193321879172463,0.0,-1.8043031227361583,0.07118380052431092,3.8123072289528186
PC42,-0.2529214273808472,0.7765288933357865,0.11486570568472004,-0.4780540735816763,-0.02778878118001818,0.6199886710675256,0.9725937752169445,0.0,-2.2018880733215394,0.027673215670088402,5.175365892710256
PC25**2,-0.03575488836295847,0.9648767670246394,0.04172415689334718,-0.11753273315921757,0.046022956433300635,0.8891114078448443,1.0470984483267183,0.0,-0.8569349514803378,0.39148083521121213,1.3529864122050297
